pollutant_name,test_date,reason,sample_concentration,emittion_threshold,deviation_percentage,emittion_rate,link,x,y,name,errors
חלקיקים,11/02/2009,תקופתי מתוכנן,5.70,150,אין חריגה,אין נתונים,https://www.gov.il/apps/sviva/airq/atar_digumi_arubut_details?mifalkey=153933,31.7363579257056,34.755216619742335,כצט_נוביס_בעמ__,
תחמוצות  גופרית ,11/02/2009,תקופתי מתוכנן,97.8000,1700,אין חריגה,0.04,https://www.gov.il/apps/sviva/airq/atar_digumi_arubut_details?mifalkey=153933,31.7363579257056,34.755216619742335,כצט_נוביס_בעמ__,
תחמוצות חנקן ,11/02/2009,תקופתי מתוכנן,184.9000,אין נתונים,לא רלוונטי,0.08,https://www.gov.il/apps/sviva/airq/atar_digumi_arubut_details?mifalkey=153933,31.7363579257056,34.755216619742335,כצט_נוביס_בעמ__,
פחמן חד-חמצני,11/02/2009,תקופתי מתוכנן,65.8000,אין נתונים,לא רלוונטי,0.03,https://www.gov.il/apps/sviva/airq/atar_digumi_arubut_details?mifalkey=153933,31.7363579257056,34.755216619742335,כצט_נוביס_בעמ__,
חלקיקים,10/09/2009,תקופתי מתוכנן,29.1000,50,אין חריגה,0.93,https://www.gov.il/apps/sviva/airq/atar_digumi_arubut_details?mifalkey=70907,32.7556859144214,35.320400530705456,כארמור_-_פתרונות_משולבים_לרכב_בעמ__,
קסילנים,05/01/2009,תקופתי מתוכנן,11.1000,אין נתונים,לא רלוונטי,0.30,https://www.gov.il/apps/sviva/airq/atar_digumi_arubut_details?mifalkey=70907,32.7556859144214,35.320400530705456,כארמור_-_פתרונות_משולבים_לרכב_בעמ__,
VOC,05/01/2009,תקופתי מתוכנן,45.1000,50,אין חריגה,1.40,https://www.gov.il/apps/sviva/airq/atar_digumi_arubut_details?mifalkey=70907,32.7556859144214,35.320400530705456,כארמור_-_פתרונות_משולבים_לרכב_בעמ__,
TOC,01/08/2011,תקופתי מתוכנן,50.8000,אין נתונים,לא רלוונטי,0.33,https://www.gov.il/apps/sviva/airq/atar_digumi_arubut_details?mifalkey=70907,32.7556859144214,35.320400530705456,כארמור_-_פתרונות_משולבים_לרכב_בעמ__,
אתילן אוקסיד,18/10/2010,תקופתי מתוכנן,0.2160,0.50,אין חריגה,0.0010,https://www.gov.il/apps/sviva/airq/atar_digumi_arubut_details?mifalkey=58651,32.795863199261206,35.53098061197414,בית_חולים_פוריה__,
חלקיקים,06/05/2019,תקופתי מתוכנן,אין נתונים,אין נתונים,אין נתונים,אין נתונים,https://www.gov.il/apps/sviva/airq/atar_digumi_arubut_details?mifalkey=58651,32.795863199261206,35.53098061197414,בית_חולים_פוריה__,
גופרית דו חמצנית,06/05/2019,תקופתי מתוכנן,אין נתונים,אין נתונים,אין נתונים,אין נתונים,https://www.gov.il/apps/sviva/airq/atar_digumi_arubut_details?mifalkey=58651,32.795863199261206,35.53098061197414,בית_חולים_פוריה__,
תחמוצות חנקן,06/05/2019,תקופתי מתוכנן,62.1939,אין נתונים,לא רלוונטי,0.0256,https://www.gov.il/apps/sviva/airq/atar_digumi_arubut_details?mifalkey=58651,32.795863199261206,35.53098061197414,בית_חולים_פוריה__,
פחמן חד-חמצני,06/05/2019,תקופתי מתוכנן,27.4881,אין נתונים,לא רלוונטי,0.0113,https://www.gov.il/apps/sviva/airq/atar_digumi_arubut_details?mifalkey=58651,32.795863199261206,35.53098061197414,בית_חולים_פוריה__,
תחמוצות חנקן,06/05/2019,תקופתי מתוכנן,148.8793,אין נתונים,לא רלוונטי,0.0617,https://www.gov.il/apps/sviva/airq/atar_digumi_arubut_details?mifalkey=58651,32.795863199261206,35.53098061197414,בית_חולים_פוריה__,
פחמן חד-חמצני,06/05/2019,תקופתי מתוכנן,25.4615,אין נתונים,לא רלוונטי,0.0106,https://www.gov.il/apps/sviva/airq/atar_digumi_arubut_details?mifalkey=58651,32.795863199261206,35.53098061197414,בית_חולים_פוריה__,
TOC,27/04/2020,תקופתי מתוכנן,2.9813,50.0000,אין חריגה,0.0271,https://www.gov.il/apps/sviva/airq/atar_digumi_arubut_details?mifalkey=139426,32.991001065583596,35.68987454150409,בנדע_אגשח_בעמ__,
סטירן,27/04/2020,תקופתי מתוכנן,אין נתונים,20.0000,אין נתונים,אין נתונים,https://www.gov.il/apps/sviva/airq/atar_digumi_arubut_details?mifalkey=139426,32.991001065583596,35.68987454150409,בנדע_אגשח_בעמ__,
TOC,27/04/2020,תקופתי מתוכנן,3.5153,50.0000,אין חריגה,0.0284,https://www.gov.il/apps/sviva/airq/atar_digumi_arubut_details?mifalkey=139426,32.991001065583596,35.68987454150409,בנדע_אגשח_בעמ__,
TOC,08/06/2021,תקופתי מתוכנן,3.7012,50.0000,אין חריגה,0.0571,https://www.gov.il/apps/sviva/airq/atar_digumi_arubut_details?mifalkey=139426,32.991001065583596,35.68987454150409,בנדע_אגשח_בעמ__,
סטירן,08/06/2021,תקופתי מתוכנן,אין נתונים,20.0000,אין נתונים,אין נתונים,https://www.gov.il/apps/sviva/airq/atar_digumi_arubut_details?mifalkey=139426,32.991001065583596,35.68987454150409,בנדע_אגשח_בעמ__,
TOC,08/06/2021,תקופתי מתוכנן,2.1775,50.0000,אין חריגה,0.0343,https://www.gov.il/apps/sviva/airq/atar_digumi_arubut_details?mifalkey=139426,32.991001065583596,35.68987454150409,בנדע_אגשח_בעמ__,
TOC,27/04/2020,תקופתי מתוכנן,1.5740,50.0000,אין חריגה,0.0049,https://www.gov.il/apps/sviva/airq/atar_digumi_arubut_details?mifalkey=139426,32.991001065583596,35.68987454150409,בנדע_אגשח_בעמ__,
TOC,27/04/2020,תקופתי מתוכנן,1.6245,50.0000,אין חריגה,0.0074,https://www.gov.il/apps/sviva/airq/atar_digumi_arubut_details?mifalkey=139426,32.991001065583596,35.68987454150409,בנדע_אגשח_בעמ__,
